term,estimate,std.error,statistic,p.value,conf.low,conf.high,percent_change
season夏季,0.3010285289037804,0.028223010352446877,10.666067338124398,1.7724842681276621e-26,0.2457085818632927,0.3563484759442681,35.12478906091863
season秋季,0.3537387898444925,0.03340813573356344,10.588402557557538,4.053324120544847e-26,0.2882554740527763,0.41922210563620865,42.438307455789
season冬季,0.5822147919161925,0.028371018942434146,20.521462168754955,1.73747673234113e-92,0.5266047331102559,0.6378248507221291,78.99985179943303
yr2012年,0.45751601774929634,0.009087020286703124,50.3482993670402,0,0.43970454141354565,0.47532749408504704,58.01440562892224
weathersit多云或有雾,-0.04234166457685223,0.011150614274732315,-3.797249508737822,1.4680938310245977e-4,-0.06419799327616187,-0.020485335877542588,-4.145777530504457
weathersit小雨雪,-0.5693041873288566,0.0187712113206788,-30.328580164759956,6.510297054038501e-197,-0.606097654899396,-0.5325107197583171,-43.408092460154215
weathersit恶劣天气,-0.1038614082682448,0.3423971835009732,-0.3033360473537587,0.7616374184745512,-0.7749944242558113,0.5672716077193216,-9.864979154850595
temp_celsius,0.03429608146972588,0.0013310676661793582,25.76584372165537,1.0748552312632137e-143,0.03168705458418801,0.036905108355263755,3.489097341154457
hum_percent,-0.0029726821644834203,3.2153311326668606e-4,-9.245337546362816,2.611095839657165e-20,-0.0036029194983309095,-0.002342444830635931,-0.2968268119791784
windspeed_real,-0.0036382351627859515,5.935958047005968e-4,-6.129145681245233,9.026306484852555e-10,-0.004801742813791923,-0.00247472751177998,-0.36316248043455346
