term,GVIF,Df,GVIF^(1/(2*Df)),gvif_adjusted
season,163.42863106642255,3,2.338234283040192,2.338234283040192
yr,1.0251641675420644,1,1.0125039098897666,1.0125039098897666
mnth,309.3795914144342,11,1.2977892320588464,1.2977892320588464
hr,1.7447201226449145,23,1.0121733725351334,1.0121733725351334
holiday,1.0916541442820151,1,1.0448225420051078,1.0448225420051078
workingday,1.080905577427424,1,1.0396660893899656,1.0396660893899656
weathersit,1.3846528254133237,3,1.0557396100025482,1.0557396100025482
temp_celsius,5.483772799255556,1,2.3417456734785604,2.3417456734785604
hum_percent,1.9109398027688322,1,1.3823674630028124,1.3823674630028124
windspeed_real,1.1756191177088073,1,1.084259709529413,1.084259709529413
