term,estimate,std.error,statistic,p.value,incidence_rate_ratio
season夏季,0.257618508008245,0.02571181832409233,10.019458941449228,1.2518637298459702e-23,1.2938451329048766
season秋季,0.3065668088540146,0.03031443621385453,10.112898247268248,4.842998231642428e-24,1.3587522411250934
season冬季,0.5292972083985927,0.025968415586205763,20.382345108484465,2.3988255931073002e-92,1.6977387327273772
yr2012年,0.47402152325067115,0.008252428865759744,57.44024346788856,0,1.606441562499809
weathersit多云或有雾,-0.04014741878169622,0.010142890062410202,-3.95818337127438,7.552197001380433e-5,0.9606478111833046
weathersit小雨雪,-0.5025205770031902,0.017312051808050816,-29.02721078789156,2.9848537910617e-185,0.6050037776003974
weathersit恶劣天气,-0.23481077351960403,0.3150636173926631,-0.7452805102118785,0.45610216074367904,0.7907204607228584
temp_celsius,0.032600815024244396,0.001210004731758092,26.942716973409368,6.943032816176372e-160,1.033138043730839
hum_percent,-0.0024330493405061177,2.920840464021029e-4,-8.329963140666079,8.086752846832942e-17,0.9975699081250011
windspeed_real,-0.0034346163642570656,5.373522486757027e-4,-6.391740934780921,1.6400760143732875e-10,0.9965712751835288
