model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,percent_change
休闲用户,season夏季,0.3313516149392264,0.030078132338841976,11.016362691885929,3.950894665046031e-28,0.2723954416861751,0.3903077881922777,39.28494528928914
休闲用户,season秋季,0.21368975921634437,0.035604080331600695,6.001833419825263,1.9898681277302826e-9,0.14390217051574147,0.28347734791694723,23.823844313252064
休闲用户,season冬季,0.27783876887029,0.030235869656772576,9.189045065487525,4.401913097796518e-20,0.21857341456372037,0.33710412317685967,32.0273310890165
休闲用户,yr2012年,0.27681448555151195,0.009684317701619734,28.583788149082903,1.2405519063454559e-175,0.2578322460353643,0.2957967250676596,31.89216693117267
休闲用户,weathersit多云或有雾,-0.06791132072069113,0.011883553441906362,-5.714731797410656,1.1168225082709522e-8,-0.09120428411649947,-0.044618357324882785,-6.565667320367529
休闲用户,weathersit小雨雪,-0.6571538044258323,0.02000505868130384,-32.849381493691375,1.211969999045106e-229,-0.6963657372767739,-0.6179418715748907,-48.167551007781626
休闲用户,weathersit恶劣天气,-0.4476043634902695,0.36490323566409205,-1.2266385160319793,0.2199751492499338,-1.1628515118190108,0.26764278483847176,-36.08424919389326
休闲用户,temp_celsius,0.06378902662212667,0.0014185598529472682,44.96745519027309,0,0.06100850622551344,0.0665695470187399,6.586750537110664
休闲用户,hum_percent,-0.005429827301113451,3.4266775270898006e-4,-15.84574929560086,3.728874393094943e-56,-0.006101490660040017,-0.004758163942186885,-0.5415112433962643
休闲用户,windspeed_real,-0.007449297646776725,6.326133515384555e-4,-11.775435388236339,6.911745905750187e-32,-0.00868928362513919,-0.006209311668414261,-0.7421620397060402
注册用户,season夏季,0.28529321512084527,0.028790256332660413,9.90936696861574,4.365983416224918e-23,0.22886140874315467,0.3417250214985359,33.015199162404876
注册用户,season秋季,0.3688573065827855,0.03407959602304489,10.82340607363307,3.2585671023221154e-27,0.30205786089599296,0.435656752269578,44.60812426778244
注册用户,season冬季,0.626419881791229,0.028941239703745052,21.644542120639326,1.5544561584110948e-102,0.5696921327770835,0.6831476308053744,87.0900529992356
注册用户,yr2012年,0.48767760897525103,0.00926965763351274,52.61009934305907,0,0.46950814501780613,0.5058470729326959,62.852974195972266
注册用户,weathersit多云或有雾,-0.031022041035178784,0.011374727189877285,-2.727277807839316,0.006392351109809577,-0.053317653653605655,-0.008726428416751912,-3.05457949336978
注册用户,weathersit小雨雪,-0.5318163571287073,0.019148488373424897,-27.773281460002092,3.888201603046031e-166,-0.569349325777157,-0.49428338848025766,-41.2463176792919
注册用户,weathersit恶劣天气,-0.07497044778058826,0.3492789237388824,-0.2146434917345183,0.8300478078758189,-0.7595923687699037,0.6096514732087271,-7.222909638726249
注册用户,temp_celsius,0.027116295615018566,0.001357820403523941,19.970458202457298,9.644396298430233e-88,0.024454830665836567,0.029777760564200565,2.7487288081636585
注册用户,hum_percent,-0.002564824234759307,3.279955126963861e-4,-7.819693061269025,5.597725486885253e-15,-0.003207728523327113,-0.0019219199461915008,-0.2561537883320031
注册用户,windspeed_real,-0.002657640116822222,6.055263121086714e-4,-4.388975447767605,1.145591121632451e-5,-0.003844532765733763,-0.001470747467910681,-0.26541117177574236
